Date,Open,High,Low,Close,Adj Close,Volume
2019-12-12,681.200012,695.549988,681.200012,693.200012,677.811096,951573
2019-12-13,695.000000,698.549988,672.549988,679.549988,664.464111,1896945
2019-12-16,683.750000,690.500000,676.250000,678.750000,663.681885,1289696
2019-12-17,681.799988,681.799988,666.400024,669.049988,654.197144,1457025
2019-12-18,670.950012,672.500000,648.900024,654.150024,639.627991,2308117
2019-12-19,656.000000,662.000000,651.099976,655.950012,641.387939,1294302
2019-12-20,655.900024,661.900024,648.500000,651.150024,636.694580,781139
2019-12-23,651.099976,656.599976,639.000000,654.000000,639.481323,1698997
2019-12-24,657.000000,658.849976,650.000000,652.349976,637.867859,663359
2019-12-26,653.000000,654.950012,645.250000,651.200012,636.743469,775166
2019-12-27,653.250000,654.700012,646.650024,648.450012,634.054443,862426
2019-12-30,648.000000,663.400024,648.000000,659.500000,644.859131,1729862
2019-12-31,658.599976,662.250000,655.000000,659.299988,644.663574,877219
2020-01-01,659.299988,663.000000,651.349976,653.299988,638.796814,820283
2020-01-02,654.950012,660.849976,647.599976,659.549988,644.908020,1167011
2020-01-03,657.950012,665.000000,656.049988,663.700012,648.965942,1224987
2020-01-06,662.950012,662.950012,646.299988,649.900024,635.472290,1162203
2020-01-07,651.099976,660.000000,650.250000,654.500000,639.970215,1007897
2020-01-08,649.000000,653.450012,647.000000,651.049988,636.596802,742490
2020-01-09,655.299988,689.150024,655.299988,684.299988,669.108643,2697590
2020-01-10,688.450012,691.799988,682.200012,687.500000,672.237610,1308124
2020-01-13,687.500000,696.000000,686.099976,693.450012,678.055542,815053
2020-01-14,694.500000,701.000000,691.500000,693.349976,677.957764,781087
2020-01-15,692.299988,697.799988,683.650024,695.299988,679.864441,622594
2020-01-16,696.000000,712.000000,695.549988,701.099976,685.535645,1010417
2020-01-17,700.000000,712.799988,697.250000,705.099976,689.446838,957742
2020-01-20,707.400024,715.000000,696.200012,700.250000,684.704468,857374
2020-01-21,697.000000,704.950012,696.000000,702.500000,686.904602,562545
2020-01-22,703.900024,704.500000,692.049988,695.450012,680.011108,503474
2020-01-23,695.049988,718.000000,695.049988,713.299988,697.464844,1523850
2020-01-24,714.849976,730.950012,708.349976,723.450012,707.389526,1865819
2020-01-27,725.000000,725.950012,708.900024,710.599976,694.824707,1111167
2020-01-28,713.000000,722.500000,710.450012,716.400024,700.496033,922232
2020-01-29,716.349976,718.400024,704.599976,707.750000,692.038086,738157
2020-01-30,705.000000,707.099976,690.650024,698.750000,683.237793,702379
2020-01-31,703.000000,709.000000,691.000000,694.200012,678.788879,605269
2020-02-03,685.000000,697.700012,679.750000,690.099976,674.779846,470633
2020-02-04,699.000000,702.599976,682.000000,700.150024,684.606812,1142197
2020-02-05,699.000000,715.400024,688.000000,694.349976,678.935547,1228520
2020-02-06,697.500000,697.500000,677.150024,683.250000,668.081909,1177640
2020-02-07,684.000000,707.900024,671.500000,701.450012,685.877930,5493326
2020-02-10,701.950012,701.950012,667.049988,682.000000,666.859680,2694224
2020-02-11,686.400024,706.000000,681.000000,683.250000,668.081909,1836835
2020-02-12,687.799988,688.500000,677.549988,682.250000,667.104187,581086
2020-02-13,681.400024,689.000000,675.000000,685.599976,670.379761,492340
2020-02-14,688.000000,693.000000,683.099976,687.900024,672.628723,442425
2020-02-17,689.700012,704.950012,683.049988,694.849976,679.424438,1473125
2020-02-18,694.750000,700.549988,684.049988,697.099976,681.624451,1369375
2020-02-19,702.099976,737.000000,702.099976,733.150024,716.874207,3317660
2020-02-20,736.000000,741.000000,721.049988,725.000000,708.905090,2105332
2020-02-24,721.299988,733.950012,715.400024,717.650024,701.718262,1618922
2020-02-25,723.799988,731.349976,702.000000,703.599976,687.980042,1873648
2020-02-26,700.000000,704.849976,685.500000,691.700012,676.344360,1172920
2020-02-27,692.000000,695.500000,680.000000,684.900024,669.695374,1033182
2020-02-28,674.799988,686.150024,655.750000,678.750000,663.681885,2034326
2020-03-02,685.400024,691.849976,655.500000,664.099976,649.356995,2029657
2020-03-03,677.000000,695.450012,665.299988,690.849976,675.513245,1720245
2020-03-04,694.000000,694.500000,668.049988,687.000000,671.748718,1076218
2020-03-05,691.400024,697.000000,675.500000,689.599976,674.290955,926538
2020-03-06,669.000000,679.000000,656.549988,673.650024,658.695068,1863719
2020-03-09,655.750000,664.950012,635.150024,646.099976,631.756653,2114146
2020-03-11,650.000000,655.000000,634.250000,641.000000,626.769897,1400634
2020-03-12,620.000000,628.700012,587.250000,621.400024,607.604980,1982451
2020-03-13,564.000000,664.200012,559.299988,655.650024,641.094666,1944092
2020-03-16,635.000000,635.000000,598.049988,602.599976,589.222351,1650459
